[Tue Jan 12 18:50:37.197266 2016] [:error] [pid 1866] [client 127.0.0.1:52623] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:50:37.197342 2016] [:error] [pid 1866] [client 127.0.0.1:52623] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:56:07.952034 2016] [:error] [pid 3241] [client 127.0.0.1:52632] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 18:56:07.954300 2016] [:error] [pid 3241] [client 127.0.0.1:52632] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:56:07.954510 2016] [:error] [pid 3241] [client 127.0.0.1:52632] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:56:07.954609 2016] [:error] [pid 3241] [client 127.0.0.1:52632] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:56:07.954686 2016] [:error] [pid 3241] [client 127.0.0.1:52632] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:56:07.954760 2016] [:error] [pid 3241] [client 127.0.0.1:52632] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:57:45.966756 2016] [:error] [pid 1870] [client 127.0.0.1:52643] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 18:57:45.969039 2016] [:error] [pid 1870] [client 127.0.0.1:52643] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:57:45.969122 2016] [:error] [pid 1870] [client 127.0.0.1:52643] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:57:45.969170 2016] [:error] [pid 1870] [client 127.0.0.1:52643] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:57:45.969229 2016] [:error] [pid 1870] [client 127.0.0.1:52643] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:57:45.969269 2016] [:error] [pid 1870] [client 127.0.0.1:52643] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:58:41.255954 2016] [:error] [pid 1868] [client 127.0.0.1:52650] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 18:58:41.258335 2016] [:error] [pid 1868] [client 127.0.0.1:52650] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:58:41.258438 2016] [:error] [pid 1868] [client 127.0.0.1:52650] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:58:41.258521 2016] [:error] [pid 1868] [client 127.0.0.1:52650] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:58:41.258608 2016] [:error] [pid 1868] [client 127.0.0.1:52650] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 18:58:41.258686 2016] [:error] [pid 1868] [client 127.0.0.1:52650] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:01:17.237607 2016] [:error] [pid 3241] [client 127.0.0.1:52658] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:01:17.239740 2016] [:error] [pid 3241] [client 127.0.0.1:52658] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:01:17.239818 2016] [:error] [pid 3241] [client 127.0.0.1:52658] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:01:17.239863 2016] [:error] [pid 3241] [client 127.0.0.1:52658] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:01:17.239902 2016] [:error] [pid 3241] [client 127.0.0.1:52658] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:01:17.239939 2016] [:error] [pid 3241] [client 127.0.0.1:52658] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:01:45.606439 2016] [:error] [pid 1870] [client 127.0.0.1:52666] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:01:45.609538 2016] [:error] [pid 1870] [client 127.0.0.1:52666] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:01:45.609653 2016] [:error] [pid 1870] [client 127.0.0.1:52666] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:01:45.609733 2016] [:error] [pid 1870] [client 127.0.0.1:52666] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:01:45.609831 2016] [:error] [pid 1870] [client 127.0.0.1:52666] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:01:45.609907 2016] [:error] [pid 1870] [client 127.0.0.1:52666] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:01:49.859940 2016] [:error] [pid 1866] [client 127.0.0.1:52667] PHP Notice:  Access to undefined property setStatus in /var/www/enbay-com-vn/app/controllers/IndexController.php on line 24
[Tue Jan 12 19:01:49.862498 2016] [:error] [pid 1866] [client 127.0.0.1:52667] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:01:49.862601 2016] [:error] [pid 1866] [client 127.0.0.1:52667] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
[Tue Jan 12 19:01:49.862678 2016] [:error] [pid 1866] [client 127.0.0.1:52667] PHP Notice:  Access to undefined property Timetable::text in /var/www/enbay-com-vn/app/cache/_var_www_enbay-com-vn_app_views_index_index.volt.php on line 68
